Item ID,Item Name,Category,Brand,Supplier Name,Purchase Price,Selling Price,Stock Quantity,Reorder Level,Expiry Date,Last Restocked Date,Sales Per Month,Days Since Restock,Stock Cluster
1,Shampoo,6,0,Agarwal Mart,209.98,283.57,262,15,,2023-02-08,78,860,2
2,Chips,3,9,Gupta Wholesalers,21.5,27.81,48,22,2023-12-31,2023-01-20,87,879,1
3,Notebook,5,6,Verma Distributors,428.53,597.84,415,20,2023-03-14,2023-01-25,35,874,0
4,Notebook,2,9,Gupta Wholesalers,413.13,519.11,365,38,2023-06-22,2023-02-28,76,840,0
5,Wheat Flour,4,5,Sharma Traders,350.57,469.76,324,48,2023-06-22,2023-02-22,91,846,2
6,Detergent,1,0,Patel Suppliers,329.73,366.87,7,30,2023-06-22,2023-02-17,36,851,1
7,Pen,3,1,Sharma Traders,352.24,511.57,60,37,2023-02-25,2023-02-06,19,862,1
8,Toothpaste,5,7,Verma Distributors,70.52,78.28,368,14,2023-11-22,2023-01-04,83,895,0
9,Chips,0,5,Sharma Traders,263.53,307.6,423,50,2023-12-14,2023-01-20,9,879,0
10,Notebook,2,1,Verma Distributors,27.15,37.65,308,23,2023-02-03,2023-02-09,41,859,2
11,Detergent,0,9,Agarwal Mart,19.77,24.42,268,47,2023-11-12,2023-01-30,25,869,2
12,Toothpaste,3,4,Gupta Wholesalers,398.35,595.03,390,16,2023-07-02,2023-02-23,64,845,0
13,Pen,3,1,Patel Suppliers,466.25,697.27,150,43,2023-10-23,2023-01-06,18,893,1
14,Milk,4,6,Gupta Wholesalers,208.74,263.3,98,36,2023-10-23,2023-01-08,17,891,1
15,Soap,0,4,Patel Suppliers,301.06,399.67,382,24,2023-10-17,2023-01-10,100,889,0
16,Detergent,6,6,Gupta Wholesalers,388.49,518.17,17,17,2023-10-17,2023-01-17,91,882,1
17,Toothpaste,5,3,Gupta Wholesalers,438.83,643.05,146,21,2023-08-05,2023-02-10,34,858,1
18,Wheat Flour,2,7,Patel Suppliers,415.22,527.43,93,33,2023-03-30,2023-01-03,85,896,1
19,Notebook,3,6,Sharma Traders,251.35,280.22,397,29,2023-10-13,2023-02-01,78,867,0
20,Rice,2,0,Agarwal Mart,338.28,381.71,152,30,2023-08-07,2023-01-17,48,882,1
21,Shampoo,4,5,Sharma Traders,408.54,559.55,236,35,2023-08-07,2023-01-12,9,887,2
22,Detergent,2,0,Sharma Traders,422.45,618.53,205,44,2023-12-16,2023-02-07,27,861,2
23,Notebook,1,2,Gupta Wholesalers,303.46,335.97,259,44,2023-12-16,2023-02-20,79,848,2
24,Toothpaste,6,3,Patel Suppliers,213.49,246.38,125,19,2023-12-16,2023-02-27,50,841,1
25,Notebook,4,7,Gupta Wholesalers,318.39,412.19,101,13,2023-12-16,2023-01-08,18,891,1
26,Soap,0,0,Sharma Traders,430.96,481.15,428,47,2023-10-14,2023-02-04,100,864,0
27,Toothpaste,2,7,Agarwal Mart,478.49,715.66,339,49,2023-06-26,2023-02-06,28,862,0
28,Milk,1,0,Gupta Wholesalers,479.5,683.25,166,14,2023-06-26,2023-01-26,99,873,1
29,Wheat Flour,2,6,Sharma Traders,78.8,95.79,381,32,2023-11-11,2023-02-04,45,864,0
30,Toothpaste,2,6,Agarwal Mart,19.24,28.76,398,17,2023-07-12,2023-01-11,13,888,0
31,Milk,2,0,Gupta Wholesalers,52.85,70.45,29,23,2023-11-16,2023-03-01,26,839,1
32,Notebook,3,5,Agarwal Mart,97.12,141.31,186,10,2023-04-08,2023-02-26,72,842,2
33,Soap,1,7,Patel Suppliers,414.21,602.65,489,14,2023-04-08,2023-02-20,47,848,0
34,Chips,1,9,Verma Distributors,436.68,620.64,383,41,2023-04-08,2023-01-22,77,877,0
35,Notebook,4,9,Gupta Wholesalers,360.04,496.2,80,45,2023-04-08,2023-02-12,99,856,1
36,Chips,5,8,Gupta Wholesalers,397.18,527.26,270,32,2023-08-06,2023-02-02,13,866,2
37,Shampoo,6,5,Gupta Wholesalers,295.36,368.21,195,43,2023-08-06,2023-01-19,26,880,2
38,Wheat Flour,2,0,Sharma Traders,473.79,677.45,167,32,2023-08-12,2023-01-19,8,880,1
39,Chips,3,9,Verma Distributors,140.45,178.91,152,30,2023-06-18,2023-02-21,68,847,1
40,Soap,3,7,Verma Distributors,144.35,181.79,182,19,2023-07-05,2023-02-10,51,858,2
41,Pen,0,6,Sharma Traders,382.18,493.56,363,12,2023-07-26,2023-01-05,43,894,0
42,Detergent,3,3,Sharma Traders,222.52,288.17,132,36,2023-09-24,2023-01-17,67,882,1
