Item ID,Item Name,Category,Brand,Supplier Name,Purchase Price,Selling Price,Stock Quantity,Reorder Level,Expiry Date,Last Restocked Date,Sales Per Month
10651,Shampoo,Personal Care,Britannia,Sharma Traders,328.67,415.65,239,49,2023-10-23,2023-01-20,34
2042,Rice,Grocery,Colgate,Patel Suppliers,110.04,138.2,403,17,2023-09-30,2023-01-29,46
8669,Soap,Grocery,Nestle,Gupta Wholesalers,145.86,211.1,96,11,2023-04-11,2023-01-18,80
1115,Wheat Flour,Household,Tata,Gupta Wholesalers,154.0,176.6,346,17,2024-02-21,2023-02-05,38
13903,Milk,Fmcg,Britannia,Gupta Wholesalers,454.25,565.44,26,23,2023-10-18,2023-01-28,52
11964,Rice,Stationery,Nestle,Gupta Wholesalers,397.08,534.87,110,45,2024-02-21,2023-02-08,54
11073,Rice,Grocery,Itc,Sharma Traders,213.31,318.34,43,25,2023-09-30,2023-01-23,46
3003,Chips,Stationery,Tata,Patel Suppliers,29.5,37.05,113,44,2024-02-21,2023-02-17,41
19772,Milk,Stationery,Amul,Gupta Wholesalers,13.74,15.43,139,23,2024-02-21,2023-02-22,33
8116,Chips,Fmcg,Nestle,Patel Suppliers,349.82,397.32,97,28,2023-08-03,2023-01-27,52
3526,Pen,Electronics,Nestle,Gupta Wholesalers,93.65,115.85,98,50,2024-02-21,2023-02-06,72
7880,Shampoo,Personal Care,Tata,Sharma Traders,423.15,605.26,179,48,2023-05-25,2023-01-14,39
16442,Milk,Beverages,Tata,Verma Distributors,130.54,154.21,227,48,2023-07-22,2023-02-24,62
16297,Milk,Grocery,Itc,Agarwal Mart,112.32,147.9,161,17,2023-11-25,2023-02-04,50
12567,Notebook,Stationery,Itc,Gupta Wholesalers,225.68,261.45,283,43,2024-02-21,2023-01-15,44
5253,Toothpaste,Personal Care,Tata,Patel Suppliers,22.41,26.98,271,47,2023-09-26,2023-01-12,90
19394,Notebook,Household,Tata,Gupta Wholesalers,477.14,646.93,69,47,2024-02-21,2023-01-06,86
16797,Shampoo,Electronics,Haldiram,Sharma Traders,101.21,147.95,4,43,2024-02-21,2023-01-27,76
8095,Chips,Electronics,Godrej,Verma Distributors,239.03,333.1,14,42,2024-02-21,2023-01-11,77
