Item ID,Item Name,Category,Brand,Supplier Name,Purchase Price,Selling Price,Stock Quantity,Reorder Level,Expiry Date,Last Restocked Date,Sales Per Month
1,Shampoo,Stationery,Amul,Agarwal Mart,209.98,283.57,262,15,,2023-02-08,78
2,Chips,Grocery,Tata,Gupta Wholesalers,21.5,27.81,48,22,2023-12-31,2023-01-20,87
3,Notebook,Personal Care,ITC,Verma Distributors,428.53,597.84,415,20,2023-03-14,2023-01-25,35
4,Notebook,FMCG,Tata,Gupta Wholesalers,413.13,519.11,365,38,2023-06-22,2023-02-28,76
5,Wheat Flour,Household,Haldiram,Sharma Traders,350.57,469.76,324,48,,2023-02-22,91
6,Detergent,Electronics,Amul,Patel Suppliers,329.73,366.87,7,30,,2023-02-17,36
7,Pen,Grocery,Britannia,Sharma Traders,352.24,511.57,60,37,2023-02-25,2023-02-06,19
8,Toothpaste,Personal Care,Nestle,Verma Distributors,70.52,78.28,368,14,2023-11-22,2023-01-04,83
9,Chips,Beverages,Haldiram,Sharma Traders,263.53,307.6,423,50,2023-12-14,2023-01-20,9
10,Notebook,FMCG,Britannia,Verma Distributors,27.15,37.65,308,23,2023-02-03,2023-02-09,41
11,Detergent,Beverages,Tata,Agarwal Mart,19.77,24.42,268,47,2023-11-12,2023-01-30,25
12,Toothpaste,Grocery,Godrej,Gupta Wholesalers,398.35,595.03,390,16,2023-07-02,2023-02-23,64
13,Pen,Grocery,Britannia,Patel Suppliers,466.25,697.27,150,43,2023-10-23,2023-01-06,18
14,Milk,Household,ITC,Gupta Wholesalers,208.74,263.3,98,36,,2023-01-08,17
15,Soap,Beverages,Godrej,Patel Suppliers,301.06,399.67,382,24,2023-10-17,2023-01-10,100
16,Detergent,Stationery,ITC,Gupta Wholesalers,388.49,518.17,17,17,,2023-01-17,91
17,Toothpaste,Personal Care,Dabur,Gupta Wholesalers,438.83,643.05,146,21,2023-08-05,2023-02-10,34
18,Wheat Flour,FMCG,Nestle,Patel Suppliers,415.22,527.43,93,33,2023-03-30,2023-01-03,85
19,Notebook,Grocery,ITC,Sharma Traders,251.35,280.22,397,29,2023-10-13,2023-02-01,78
20,Rice,FMCG,Amul,Agarwal Mart,338.28,381.71,152,30,2023-08-07,2023-01-17,48
21,Shampoo,Household,Haldiram,Sharma Traders,408.54,559.55,236,35,,2023-01-12,9
22,Detergent,FMCG,Amul,Sharma Traders,422.45,618.53,205,44,2023-12-16,2023-02-07,27
23,Notebook,Electronics,Colgate,Gupta Wholesalers,303.46,335.97,259,44,,2023-02-20,79
24,Toothpaste,Stationery,Dabur,Patel Suppliers,213.49,246.38,125,19,,2023-02-27,50
25,Notebook,Household,Nestle,Gupta Wholesalers,318.39,412.19,101,13,,2023-01-08,18
26,Soap,Beverages,Amul,Sharma Traders,430.96,481.15,428,47,2023-10-14,2023-02-04,100
27,Toothpaste,FMCG,Nestle,Agarwal Mart,478.49,715.66,339,49,2023-06-26,2023-02-06,28
28,Milk,Electronics,Amul,Gupta Wholesalers,479.5,683.25,166,14,,2023-01-26,99
29,Wheat Flour,FMCG,ITC,Sharma Traders,78.8,95.79,381,32,2023-11-11,2023-02-04,45
30,Toothpaste,FMCG,ITC,Agarwal Mart,19.24,28.76,398,17,2023-07-12,2023-01-11,13
31,Milk,FMCG,Amul,Gupta Wholesalers,52.85,70.45,29,23,2023-11-16,2023-03-01,26
32,Notebook,Grocery,Haldiram,Agarwal Mart,97.12,141.31,186,10,2023-04-08,2023-02-26,72
33,Soap,Electronics,Nestle,Patel Suppliers,414.21,602.65,489,14,,2023-02-20,47
34,Chips,Electronics,Tata,Verma Distributors,436.68,620.64,383,41,,2023-01-22,77
35,Notebook,Household,Tata,Gupta Wholesalers,360.04,496.2,80,45,,2023-02-12,99
36,Chips,Personal Care,Parle,Gupta Wholesalers,397.18,527.26,270,32,2023-08-06,2023-02-02,13
37,Shampoo,Stationery,Haldiram,Gupta Wholesalers,295.36,368.21,195,43,,2023-01-19,26
